scenario,strategy,pool_size,run,elapsed_ms,matches,consulted_providers
NO_IO,SEQUENTIAL,-,1,0.012,7,100
NO_IO,SEQUENTIAL,-,2,0.010,7,100
NO_IO,SEQUENTIAL,-,3,0.005,7,100
NO_IO,SEQUENTIAL,-,4,0.005,7,100
NO_IO,SEQUENTIAL,-,5,0.005,7,100
NO_IO,FIXED,2,1,0.416,7,100
NO_IO,FIXED,2,2,0.231,7,100
NO_IO,FIXED,2,3,0.189,7,100
NO_IO,FIXED,2,4,0.246,7,100
NO_IO,FIXED,2,5,0.229,7,100
NO_IO,FIXED,4,1,0.329,7,100
NO_IO,FIXED,4,2,0.326,7,100
NO_IO,FIXED,4,3,0.365,7,100
NO_IO,FIXED,4,4,0.326,7,100
NO_IO,FIXED,4,5,0.320,7,100
NO_IO,FIXED,8,1,0.478,7,100
NO_IO,FIXED,8,2,0.414,7,100
NO_IO,FIXED,8,3,0.470,7,100
NO_IO,FIXED,8,4,0.445,7,100
NO_IO,FIXED,8,5,0.406,7,100
NO_IO,VIRTUAL,-,1,0.408,7,100
NO_IO,VIRTUAL,-,2,0.471,7,100
NO_IO,VIRTUAL,-,3,0.474,7,100
NO_IO,VIRTUAL,-,4,0.355,7,100
NO_IO,VIRTUAL,-,5,0.242,7,100
IO,SEQUENTIAL,-,1,11256.081,7,100
IO,SEQUENTIAL,-,2,11227.221,7,100
IO,SEQUENTIAL,-,3,11303.817,7,100
IO,SEQUENTIAL,-,4,11240.486,7,100
IO,SEQUENTIAL,-,5,11273.568,7,100
IO,FIXED,2,1,5679.442,7,100
IO,FIXED,2,2,5673.213,7,100
IO,FIXED,2,3,5659.392,7,100
IO,FIXED,2,4,5661.361,7,100
IO,FIXED,2,5,5651.239,7,100
IO,FIXED,4,1,2892.418,7,100
IO,FIXED,4,2,2896.140,7,100
IO,FIXED,4,3,2901.089,7,100
IO,FIXED,4,4,2912.849,7,100
IO,FIXED,4,5,2901.095,7,100
IO,FIXED,8,1,1512.727,7,100
IO,FIXED,8,2,1509.048,7,100
IO,FIXED,8,3,1509.027,7,100
IO,FIXED,8,4,1509.795,7,100
IO,FIXED,8,5,1516.314,7,100
IO,VIRTUAL,-,1,197.929,7,100
IO,VIRTUAL,-,2,197.916,7,100
IO,VIRTUAL,-,3,197.913,7,100
IO,VIRTUAL,-,4,198.222,7,100
IO,VIRTUAL,-,5,198.499,7,100
